,data,size,queue,memory,type,is_cold
50,0.0008599758148193359,0,lambda,2048,rtt,
51,0.0008141994476318359,0,lambda,2048,rtt,
52,0.0008602142333984375,0,lambda,2048,rtt,
53,0.0008907318115234375,0,lambda,2048,rtt,
54,0.0008525848388671875,0,lambda,2048,rtt,
55,0.0009100437164306641,0,lambda,2048,rtt,
56,0.0008988380432128906,0,lambda,2048,rtt,
57,0.0008399486541748047,0,lambda,2048,rtt,
58,0.0008594989776611328,0,lambda,2048,rtt,
59,0.0008883476257324219,0,lambda,2048,rtt,
60,0.0008664131164550781,0,lambda,2048,rtt,
61,0.0008623600006103516,0,lambda,2048,rtt,
62,0.0008485317230224609,0,lambda,2048,rtt,
63,0.000835418701171875,0,lambda,2048,rtt,
64,0.0008406639099121094,0,lambda,2048,rtt,
65,0.000865936279296875,0,lambda,2048,rtt,
66,0.0008604526519775391,0,lambda,2048,rtt,
67,0.0008778572082519531,0,lambda,2048,rtt,
68,0.0008358955383300781,0,lambda,2048,rtt,
69,0.0008883476257324219,0,lambda,2048,rtt,
70,0.0009300708770751953,0,lambda,2048,rtt,
71,0.000850677490234375,0,lambda,2048,rtt,
72,0.0008864402770996094,0,lambda,2048,rtt,
73,0.0009059906005859375,0,lambda,2048,rtt,
74,0.0008633136749267578,0,lambda,2048,rtt,
75,0.0008852481842041016,0,lambda,2048,rtt,
76,0.0009090900421142578,0,lambda,2048,rtt,
77,0.0008776187896728516,0,lambda,2048,rtt,
78,0.0008435249328613281,0,lambda,2048,rtt,
79,0.0008566379547119141,0,lambda,2048,rtt,
80,0.0008559226989746094,0,lambda,2048,rtt,
81,0.000843048095703125,0,lambda,2048,rtt,
82,0.0008068084716796875,0,lambda,2048,rtt,
83,0.0008485317230224609,0,lambda,2048,rtt,
84,0.0008673667907714844,0,lambda,2048,rtt,
85,0.0008327960968017578,0,lambda,2048,rtt,
86,0.0008380413055419922,0,lambda,2048,rtt,
87,0.0007994174957275391,0,lambda,2048,rtt,
88,0.0008282661437988281,0,lambda,2048,rtt,
89,0.0008289813995361328,0,lambda,2048,rtt,
90,0.0008611679077148438,0,lambda,2048,rtt,
91,0.0009567737579345703,0,lambda,2048,rtt,
92,0.0008325576782226562,0,lambda,2048,rtt,
93,0.0008342266082763672,0,lambda,2048,rtt,
94,0.0009140968322753906,0,lambda,2048,rtt,
95,0.0008702278137207031,0,lambda,2048,rtt,
96,0.00081634521484375,0,lambda,2048,rtt,
97,0.0008137226104736328,0,lambda,2048,rtt,
98,0.0008261203765869141,0,lambda,2048,rtt,
99,0.0008766651153564453,0,lambda,2048,rtt,
100,0.04095935821533203,64,lambda,2048,invocation,False
101,0.038789987564086914,64,lambda,2048,invocation,False
102,0.03890562057495117,64,lambda,2048,invocation,False
103,0.0368809700012207,64,lambda,2048,invocation,False
104,0.04358363151550293,64,lambda,2048,invocation,False
105,0.036608219146728516,64,lambda,2048,invocation,False
106,0.038678884506225586,64,lambda,2048,invocation,False
107,0.03345656394958496,64,lambda,2048,invocation,False
108,0.04322624206542969,64,lambda,2048,invocation,False
109,0.04201149940490723,64,lambda,2048,invocation,False
110,0.041980743408203125,64,lambda,2048,invocation,False
111,0.05953645706176758,64,lambda,2048,invocation,False
112,0.04749727249145508,64,lambda,2048,invocation,False
113,0.0396268367767334,64,lambda,2048,invocation,False
114,0.0382847785949707,64,lambda,2048,invocation,False
115,0.03882241249084473,64,lambda,2048,invocation,False
116,0.03875994682312012,64,lambda,2048,invocation,False
117,0.03807663917541504,64,lambda,2048,invocation,False
118,0.038736581802368164,64,lambda,2048,invocation,False
119,0.03923487663269043,64,lambda,2048,invocation,False
120,0.040193796157836914,64,lambda,2048,invocation,False
121,0.0341649055480957,64,lambda,2048,invocation,False
122,0.039361000061035156,64,lambda,2048,invocation,False
123,0.03419756889343262,64,lambda,2048,invocation,False
124,0.037386417388916016,64,lambda,2048,invocation,False
125,0.04498481750488281,64,lambda,2048,invocation,False
126,0.03798055648803711,64,lambda,2048,invocation,False
127,0.04673290252685547,64,lambda,2048,invocation,False
128,0.03880143165588379,64,lambda,2048,invocation,False
129,0.03680706024169922,64,lambda,2048,invocation,False
130,0.041890621185302734,64,lambda,2048,invocation,False
131,0.042093753814697266,64,lambda,2048,invocation,False
