Addr: 3.235.155.167, Port: 60000
b'{"is_cold": false, "events": -1, "idx": "11667"}'
b'{"is_cold": false, "events": -1, "idx": "11668"}'
b'{"is_cold": false, "events": -1, "idx": "11669"}'
b'{"is_cold": false, "events": -1, "idx": "11670"}'
b'{"is_cold": false, "events": -1, "idx": "11671"}'
b'{"is_cold": false, "events": 10, "idx": "11672"}'
b'{"is_cold": false, "events": -1, "idx": "11673"}'
b'{"is_cold": false, "events": -1, "idx": "11674"}'
b'{"is_cold": false, "events": -1, "idx": "11675"}'
b'{"is_cold": false, "events": -1, "idx": "11676"}'
b'{"is_cold": false, "events": -1, "idx": "11677"}'
b'{"is_cold": false, "events": -1, "idx": "11678"}'
b'{"is_cold": false, "events": -1, "idx": "11679"}'
b'{"is_cold": false, "events": -1, "idx": "11680"}'
b'{"is_cold": false, "events": -1, "idx": "11681"}'
b'{"is_cold": false, "events": 10, "idx": "11682"}'
b'{"is_cold": false, "events": -1, "idx": "11683"}'
b'{"is_cold": false, "events": -1, "idx": "11684"}'
b'{"is_cold": false, "events": -1, "idx": "11685"}'
b'{"is_cold": false, "events": -1, "idx": "11686"}'
b'{"is_cold": false, "events": -1, "idx": "11687"}'
b'{"is_cold": false, "events": -1, "idx": "11688"}'
b'{"is_cold": false, "events": -1, "idx": "11690"}'
b'{"is_cold": false, "events": -1, "idx": "11689"}'
b'{"is_cold": false, "events": -1, "idx": "11691"}'
b'{"is_cold": false, "events": 10, "idx": "11692"}'
b'{"is_cold": false, "events": -1, "idx": "11693"}'
b'{"is_cold": false, "events": -1, "idx": "11694"}'
b'{"is_cold": false, "events": -1, "idx": "11695"}'
b'{"is_cold": false, "events": -1, "idx": "11696"}'
b'{"is_cold": false, "events": -1, "idx": "11697"}'
b'{"is_cold": false, "events": -1, "idx": "11698"}'
b'{"is_cold": false, "events": -1, "idx": "11699"}'
b'{"is_cold": false, "events": -1, "idx": "11700"}'
b'{"is_cold": false, "events": -1, "idx": "11701"}'
b'{"is_cold": false, "events": 10, "idx": "11702"}'
b'{"is_cold": false, "events": -1, "idx": "11703"}'
b'{"is_cold": false, "events": -1, "idx": "11704"}'
b'{"is_cold": false, "events": -1, "idx": "11705"}'
b'{"is_cold": false, "events": -1, "idx": "11706"}'
b'{"is_cold": false, "events": -1, "idx": "11707"}'
b'{"is_cold": false, "events": -1, "idx": "11708"}'
b'{"is_cold": false, "events": -1, "idx": "11709"}'
b'{"is_cold": false, "events": -1, "idx": "11710"}'
b'{"is_cold": false, "events": -1, "idx": "11711"}'
b'{"is_cold": false, "events": 10, "idx": "11712"}'
b'{"is_cold": false, "events": -1, "idx": "11713"}'
b'{"is_cold": false, "events": -1, "idx": "11714"}'
b'{"is_cold": false, "events": -1, "idx": "11715"}'
b'{"is_cold": false, "events": -1, "idx": "11716"}'
b'{"is_cold": false, "events": -1, "idx": "11717"}'
b'{"is_cold": false, "events": -1, "idx": "11718"}'
b'{"is_cold": false, "events": -1, "idx": "11719"}'
b'{"is_cold": false, "events": -1, "idx": "11720"}'
b'{"is_cold": false, "events": -1, "idx": "11721"}'
b'{"is_cold": false, "events": 10, "idx": "11722"}'
b'{"is_cold": false, "events": -1, "idx": "11723"}'
b'{"is_cold": false, "events": -1, "idx": "11724"}'
b'{"is_cold": false, "events": -1, "idx": "11725"}'
b'{"is_cold": false, "events": -1, "idx": "11726"}'
b'{"is_cold": false, "events": -1, "idx": "11727"}'
b'{"is_cold": false, "events": -1, "idx": "11728"}'
b'{"is_cold": false, "events": -1, "idx": "11729"}'
b'{"is_cold": false, "events": -1, "idx": "11730"}'
b'{"is_cold": false, "events": -1, "idx": "11731"}'
b'{"is_cold": false, "events": 10, "idx": "11732"}'
