Addr: 146.148.87.68, Port: 60000
b'{"is_cold": false, "events": 1, "idx": "9698528185725692"}'
b'{"is_cold": false, "events": 1, "idx": "9698163807865165"}'
b'{"is_cold": false, "events": 1, "idx": "9062826475475448"}'
b'{"is_cold": false, "events": 1, "idx": "9698981192657332"}'
b'{"is_cold": false, "events": 1, "idx": "9698689923376926"}'
b'{"is_cold": false, "events": 1, "idx": "9698335987345903"}'
b'{"is_cold": false, "events": 1, "idx": "9698312088812965"}'
b'{"is_cold": false, "events": 1, "idx": "9063048487661349"}'
b'{"is_cold": false, "events": 1, "idx": "9698499343421904"}'
b'{"is_cold": false, "events": 1, "idx": "9697477875187863"}'
b'{"is_cold": false, "events": 1, "idx": "9698393022963917"}'
b'{"is_cold": false, "events": 1, "idx": "9697894591215391"}'
Received 150
